,time,exo_LF_1,exo_NLF_1,Unnamed: 0,exo_tas_1,exo_SL,exo_cyclpers_1,exo_D_N_1_1,exo_D_N_2_1,exo_D_N_3_1,exo_DH_1,exo_D_1_1
1,2,0.0,0.0,2015,-0.4110000000000013,0.0,-8.23559477867554,-0.022070700000000068,-0.00978180000000003,-0.0014385000000000044,-0.004117797389337771,-0.0021184982320706543
2,3,0.013280752331683132,0.0021978190875251435,2016,-0.1070000000000277,0.0108046954057197,-34.374180324570084,-0.0057459000000014875,-0.002546600000000659,-0.0003745000000000969,-0.017187090162285045,0.00037053324087030616
3,4,0.026327978300265897,0.004431387531093733,2017,0.4850000000000136,0.0216093908114395,-35.33296089150981,0.026044500000000727,0.011543000000000322,0.0016975000000000473,-0.017666480445754907,0.005217594530282409
4,5,0.03903069808260806,0.006562798538899184,2018,-0.396000000000015,0.0324140862171593,-25.379771121531675,-0.021265200000000806,-0.009424800000000356,-0.0013860000000000523,-0.01268988556076584,-0.00199568417912959
5,6,0.0512563421847414,0.00843168450995524,2019,-0.1960000000000263,0.043218781622879,-45.0,-0.010525200000001412,-0.0046648000000006256,-0.0006860000000000919,-0.0225,-0.00035816347324732923
6,7,0.06291613548434949,0.009920612683658181,2020,0.0049999999999954,0.0540234770285988,-37.00092550461317,0.00026849999999975293,0.0001189999999998905,1.7499999999983898e-05,-0.018500462752306587,0.004551536006679713
7,8,0.07395693327066599,0.010977036444540289,2021,0.2180000000000177,0.0588551215667714,-32.83298971434128,0.01170660000000095,0.005188400000000421,0.0007630000000000619,-0.01641649485717064,0.006295495558444602
8,9,0.08243615416481553,0.00977913014813625,2022,0.2459999999999809,0.063686766104944,71.73413171683434,0.013210199999998973,0.005854799999999545,0.0008609999999999331,0.035867065858417174,0.00652474845726783
9,10,0.09074658330442098,0.008871350971416447,2023,0.1560000000000059,0.0685184106431166,-21.349255762231717,0.008377200000000317,0.0037128000000001406,0.0005460000000000206,-0.01067462788111586,0.0057878641396209764
10,11,0.09885301774282151,0.008371486491182356,2024,-0.4220000000000254,0.0733500551812892,-14.115367292292667,-0.022661400000001365,-0.010043600000000603,-0.0014770000000000887,-0.007057683646146335,0.0010554292996207198
11,12,0.10672063879843297,0.008399285835817949,2025,-0.0590000000000259,0.0781816997194619,4.17792540952852,-0.0031683000000013906,-0.0014042000000006162,-0.00020650000000009062,0.00208896270476426,0.0040275293807971865
12,13,0.11212456551862093,0.006909857146986997,2026,-0.0590000000000259,0.0830133442576345,-26.40061001015213,-0.0031683000000013906,-0.0014042000000006162,-0.00020650000000009062,-0.013200305005076065,0.0040275293807971865
13,14,0.11720618145338957,0.00632137699902291,2027,0.1779999999999972,0.0878449887958071,5.0253284226759405,0.009558599999999848,0.004236399999999933,0.0006229999999999901,0.0025126642113379705,0.005967991417267964
14,15,0.12189565355883136,0.0068659720164925275,2028,0.0419999999999731,0.0926766333339797,-0.0836814433923081,0.0022553999999985553,0.0009995999999993597,0.00014699999999990583,-4.184072169615405e-05,0.004854477337267766
15,16,0.12612295755810177,0.008775408434205545,2029,0.2969999999999686,0.0975082778721523,-35.36329223864924,0.015948899999998316,0.007068599999999253,0.0010394999999998901,-0.01768164611932462,0.006942316237267729
16,17,0.1298175348640802,0.012278362380972574,2030,0.6730000000000018,0.1023399224103249,31.941481186312643,0.0361401000000001,0.016017400000000043,0.002355500000000006,0.015970740593156323,0.010878106031198001
