Year,Y_1_Baseline,Y_1_Scenario,Y_1_PctDeviation,Y_1_Difference,C_1_Baseline,C_1_Scenario,C_1_PctDeviation,C_1_Difference,I_1_Baseline,I_1_Scenario,I_1_PctDeviation,I_1_Difference,E_1_Baseline,E_1_Scenario,E_1_PctDeviation,E_1_Difference,PE_1_Baseline,PE_1_Scenario,PE_1_PctDeviation,PE_1_Difference
2025,5,5,0,0,3.11460006817731,3.11460006817731,0,0,0.833916115082797,0.833916115082797,0,0,0.78,0.78,0,0,0,0,NaN,0
2026,5.5,5.4659369718962,-0.619327783705444,-0.0340630281037999,3.367787374569,3.39942375450657,0.939381748873586,0.0316363799375701,2.05757445045903,1.92380430107717,-6.50135159639142,-0.13377014938186,0.819,0.819,0,0,0,-0.0105698567493974,NaN,-0.0105698567493974
2027,6.05,6.03144295792427,-0.306727968193883,-0.0185570420757299,3.58776082471142,3.64392643880185,1.56547821425492,0.0561656140904301,2.15433054030396,2.05257767309957,-4.72317805001424,-0.10175286720439,0.84357,0.84357,0,0,0,-0.0183329857290497,NaN,-0.0183329857290497
2028,6.655,6.67797590168442,0.345242699991275,0.0229759016844193,3.7951379080934,3.87115556734306,2.00302758662727,0.07601765924966,2.30988763731656,2.23403640228395,-3.28376297648522,-0.0758512350326104,0.8604414,0.8604414,0,0,0,-0.0300100540275478,NaN,-0.0300100540275478
2029,7.3205,7.39079950049338,0.960310094848452,0.0702995004933804,4.00641163525103,4.09930735603368,2.31867639274239,0.09289572078265,2.4729688568647,2.41835481005323,-2.20844054141106,-0.0546140468114698,0.869045814,0.869045814,0,0,0,-0.0423278313046224,NaN,-0.0423278313046224
2030,8.05255,8.18511514837521,1.64625054641338,0.13256514837521,4.23612119505345,4.34416037193574,2.55042695682192,0.10803917688229,2.78102531826877,2.76896343960988,-0.433720562687967,-0.0120618786588902,0.869045814,0.869045814,0,0,0,-0.0574486601222437,NaN,-0.0574486601222437
2031,8.81754225,8.9903104347538,1.959368947212,0.172768184753799,4.48965962600339,4.61167496640112,2.71769689824673,0.12201534039773,3.1109553467202,3.11617121549909,0.1676613193561,0.00521586877889035,0.86035535586,0.86035535586,0,0,0,-0.0666659422143403,NaN,-0.0666659422143403
2032,9.6133254380625,9.80657222683874,2.01019709590928,0.193246788776241,4.76571996073318,4.90071960667745,2.83272301051238,0.13499964594427,3.45430208195613,3.46170694438726,0.214366383004247,0.00740486243112981,0.8431482487428,0.8431482487428,0,0,0,-0.0713612840158172,NaN,-0.0713612840158172
2033,10.4375479278084,10.6469550652126,2.00628671458634,0.209407137404201,5.0663459272481,5.21359881439437,2.90649097516824,0.14725288714627,3.79477785775597,3.8027547714807,0.21020765967701,0.00797691372472986,0.817853801280516,0.817853801280516,0,0,0,-0.0743054396505613,NaN,-0.0743054396505613
2034,11.2876927299958,11.5076366872474,1.94852892006108,0.2199439572516,5.39165499723116,5.55056393791865,2.94731285234491,0.15890894068749,4.13760165854299,4.14387556909569,0.151631574773432,0.0062739105527001,0.785139649229295,0.785139649229295,0,0,0,-0.0752184713435466,NaN,-0.0752184713435466
2035,12.1611128762787,12.3842304402419,1.8346804789421,0.2231175639632,5.74022840581384,5.9102893918022,2.96261705921175,0.17006098598836,4.45658784116949,4.46114796839703,0.102323288355578,0.00456012722753929,0.745882666767831,0.745882666767831,0,0,0,-0.0733404406881038,NaN,-0.0733404406881038
2036,13.0731963419995,13.3077734363393,1.79433619906852,0.2345770943398,6.10825745027708,6.28905012104768,2.95980764141497,0.1807926707706,4.74101734399436,4.74622949717241,0.109937441689652,0.00521215317805002,0.701129706761761,0.701129706761761,0,0,0,-0.0767339633089442,NaN,-0.0767339633089442
2037,14.0536860676495,14.3024514557037,1.77010776287968,0.248765388054201,6.50002544964754,6.69137080434755,2.94376316188712,0.191345354700011,5.0651466652647,5.07210972517673,0.137470055107798,0.00696305991203072,0.652050627288438,0.652050627288438,0,0,0,-0.0817299169627384,NaN,-0.0817299169627384
2038,15.1077125227232,15.371593454789,1.74666371013417,0.263880932065801,6.9192643921839,7.12114840818131,2.91770923258059,0.20188401599741,5.43158513704408,5.44165617400966,0.185416166947178,0.0100710369655799,0.599886577105363,0.599886577105363,0,0,0,-0.0877237264748568,NaN,-0.0877237264748568
2039,16.2407909619275,16.518935754782,1.71263082879732,0.278144792854498,7.36928157263194,7.58182907979016,2.884236476288,0.21254750715822,5.84337022057734,5.85831066460323,0.255681968828142,0.01494044402589,0.54589678516588,0.54589678516588,0,0,0,-0.0940440757053178,NaN,-0.0940440757053178
2040,17.458850284072,17.7552707770856,1.69782367218092,0.296420493013599,7.85316265907029,8.07666932501802,2.84607203047784,0.22350666594773,6.30030626358798,6.32984418413055,0.468833090119475,0.0295379205425705,0.491307106649292,0.491307106649292,0,0,0,-0.102187470337722,NaN,-0.102187470337722
2041,18.7682640553774,19.0865523184375,1.69588546985999,0.318288263060101,8.37024356826524,8.60506763314562,2.8054627438882,0.23482406488038,6.83051361027653,6.87081724326765,0.59005274406428,0.0403036329911206,0.43726332491787,0.43726332491787,0,0,0,-0.117832985583289,NaN,-0.117832985583289
2042,20.1758838595307,20.5198395614117,1.70478628978886,0.343955701881001,8.92257851487086,9.16912423051147,2.763166670147,0.246545715640609,7.42196826100389,7.4771962231072,0.744114770653013,0.0552279621033094,0.384791725927726,0.384791725927726,0,0,0,-0.138495822194167,NaN,-0.138495822194167
2043,21.6890751489955,22.062103155112,1.71988894664223,0.373028006116499,9.51153314611634,9.77016717092057,2.71916231412001,0.25863402480423,8.08180090978908,8.15542114908139,0.910938540977128,0.0736202392923087,0.334768801557121,0.334768801557121,0,0,0,-0.165158031808323,NaN,-0.165158031808323
2044,23.3157557851702,23.7208268340174,1.73732755043198,0.405071048847201,10.1379322784847,10.4089117983191,2.67292690847312,0.2709795198344,8.8177940882474,8.91305917525095,1.08037323224094,0.0952650870035505,0.287901169339124,0.287901169339124,0,0,0,-0.19913992742843,NaN,-0.19913992742843
