Technology,Plan,Year,Capacity_MW
LNG,PDP8,2019,NA
LNG,PDP8,2020,NA
LNG,PDP8,2021,NA
LNG,PDP8,2022,NA
LNG,PDP8,2023,NA
LNG,PDP8,2024,NA
LNG,PDP8,2025,0
LNG,PDP8,2026,4480
LNG,PDP8,2027,8960
LNG,PDP8,2028,13440
LNG,PDP8,2029,17920
LNG,PDP8,2030,22400
LNG,PDP8,2031,22550
LNG,PDP8,2032,22700
LNG,PDP8,2033,22850
LNG,PDP8,2034,23000
LNG,PDP8,2035,23150
LNG,PDP8,2036,23300
LNG,PDP8,2037,23450
LNG,PDP8,2038,23600
LNG,PDP8,2039,23750
LNG,PDP8,2040,23900
LNG,PDP8,2041,24050
LNG,PDP8,2042,24200
LNG,PDP8,2043,24350
LNG,PDP8,2044,24500
LNG,PDP8,2045,24650
LNG,PDP8,2046,24800
LNG,PDP8,2047,24950
LNG,PDP8,2048,25100
LNG,PDP8,2049,25250
LNG,PDP8,2050,25400
LNG_CCS,PDP8,2000,NA
LNG_CCS,PDP8,2001,NA
LNG_CCS,PDP8,2002,NA
LNG_CCS,PDP8,2003,NA
LNG_CCS,PDP8,2004,NA
LNG_CCS,PDP8,2005,NA
LNG_CCS,PDP8,2006,NA
LNG_CCS,PDP8,2007,NA
LNG_CCS,PDP8,2008,NA
LNG_CCS,PDP8,2009,NA
LNG_CCS,PDP8,2010,NA
LNG_CCS,PDP8,2011,NA
LNG_CCS,PDP8,2012,NA
LNG_CCS,PDP8,2013,NA
LNG_CCS,PDP8,2014,NA
LNG_CCS,PDP8,2015,NA
LNG_CCS,PDP8,2016,NA
LNG_CCS,PDP8,2017,NA
LNG_CCS,PDP8,2018,NA
LNG_CCS,PDP8,2019,NA
LNG_CCS,PDP8,2020,NA
LNG_CCS,PDP8,2021,NA
LNG_CCS,PDP8,2022,NA
LNG_CCS,PDP8,2023,NA
LNG_CCS,PDP8,2024,NA
LNG_CCS,PDP8,2025,0
LNG_CCS,PDP8,2026,0
LNG_CCS,PDP8,2027,0
LNG_CCS,PDP8,2028,0
LNG_CCS,PDP8,2029,0
LNG_CCS,PDP8,2030,0
LNG_CCS,PDP8,2031,0
LNG_CCS,PDP8,2032,0
LNG_CCS,PDP8,2033,0
LNG_CCS,PDP8,2034,0
LNG_CCS,PDP8,2035,0
LNG_CCS,PDP8,2036,0
LNG_CCS,PDP8,2037,0
LNG_CCS,PDP8,2038,0
LNG_CCS,PDP8,2039,0
LNG_CCS,PDP8,2040,0
LNG_CCS,PDP8,2041,0
LNG_CCS,PDP8,2042,0
LNG_CCS,PDP8,2043,0
LNG_CCS,PDP8,2044,0
LNG_CCS,PDP8,2045,0
LNG_CCS,PDP8,2046,0
LNG_CCS,PDP8,2047,0
LNG_CCS,PDP8,2048,0
LNG_CCS,PDP8,2049,0
LNG_CCS,PDP8,2050,0
LNG_GH2,PDP8,2000,NA
LNG_GH2,PDP8,2001,NA
LNG_GH2,PDP8,2002,NA
LNG_GH2,PDP8,2003,NA
LNG_GH2,PDP8,2004,NA
LNG_GH2,PDP8,2005,NA
LNG_GH2,PDP8,2006,NA
LNG_GH2,PDP8,2007,NA
LNG_GH2,PDP8,2008,NA
LNG_GH2,PDP8,2009,NA
LNG_GH2,PDP8,2010,NA
LNG_GH2,PDP8,2011,NA
LNG_GH2,PDP8,2012,NA
LNG_GH2,PDP8,2013,NA
LNG_GH2,PDP8,2014,NA
LNG_GH2,PDP8,2015,NA
LNG_GH2,PDP8,2016,NA
LNG_GH2,PDP8,2017,NA
LNG_GH2,PDP8,2018,NA
LNG_GH2,PDP8,2019,NA
LNG_GH2,PDP8,2020,NA
LNG_GH2,PDP8,2021,NA
LNG_GH2,PDP8,2022,NA
LNG_GH2,PDP8,2023,NA
LNG_GH2,PDP8,2024,NA
LNG_GH2,PDP8,2025,0
LNG_GH2,PDP8,2026,0
LNG_GH2,PDP8,2027,0
LNG_GH2,PDP8,2028,0
LNG_GH2,PDP8,2029,0
LNG_GH2,PDP8,2030,0
LNG_GH2,PDP8,2031,0
LNG_GH2,PDP8,2032,0
LNG_GH2,PDP8,2033,0
LNG_GH2,PDP8,2034,0
LNG_GH2,PDP8,2035,0
LNG_GH2,PDP8,2036,0
LNG_GH2,PDP8,2037,0
LNG_GH2,PDP8,2038,0
LNG_GH2,PDP8,2039,0
LNG_GH2,PDP8,2040,0
LNG_GH2,PDP8,2041,0
LNG_GH2,PDP8,2042,0
LNG_GH2,PDP8,2043,0
LNG_GH2,PDP8,2044,0
LNG_GH2,PDP8,2045,0
LNG_GH2,PDP8,2046,0
LNG_GH2,PDP8,2047,0
LNG_GH2,PDP8,2048,0
LNG_GH2,PDP8,2049,0
LNG_GH2,PDP8,2050,0
LNG_H2,PDP8,2000,NA
LNG_H2,PDP8,2001,NA
LNG_H2,PDP8,2002,NA
LNG_H2,PDP8,2003,NA
LNG_H2,PDP8,2004,NA
LNG_H2,PDP8,2005,NA
LNG_H2,PDP8,2006,NA
LNG_H2,PDP8,2007,NA
LNG_H2,PDP8,2008,NA
LNG_H2,PDP8,2009,NA
LNG_H2,PDP8,2010,NA
LNG_H2,PDP8,2011,NA
LNG_H2,PDP8,2012,NA
LNG_H2,PDP8,2013,NA
LNG_H2,PDP8,2014,NA
LNG_H2,PDP8,2015,NA
LNG_H2,PDP8,2016,NA
LNG_H2,PDP8,2017,NA
LNG_H2,PDP8,2018,NA
LNG_H2,PDP8,2019,NA
LNG_H2,PDP8,2020,NA
LNG_H2,PDP8,2021,NA
LNG_H2,PDP8,2022,NA
LNG_H2,PDP8,2023,NA
LNG_H2,PDP8,2024,NA
LNG_H2,PDP8,2025,0
LNG_H2,PDP8,2026,0
LNG_H2,PDP8,2027,0
LNG_H2,PDP8,2028,0
LNG_H2,PDP8,2029,0
LNG_H2,PDP8,2030,0
LNG_H2,PDP8,2031,0
LNG_H2,PDP8,2032,0
LNG_H2,PDP8,2033,0
LNG_H2,PDP8,2034,0
LNG_H2,PDP8,2035,0
LNG_H2,PDP8,2036,0
LNG_H2,PDP8,2037,0
LNG_H2,PDP8,2038,0
LNG_H2,PDP8,2039,0
LNG_H2,PDP8,2040,0
LNG_H2,PDP8,2041,0
LNG_H2,PDP8,2042,0
LNG_H2,PDP8,2043,0
LNG_H2,PDP8,2044,0
LNG_H2,PDP8,2045,0
LNG_H2,PDP8,2046,0
LNG_H2,PDP8,2047,0
LNG_H2,PDP8,2048,0
LNG_H2,PDP8,2049,0
LNG_H2,PDP8,2050,0
Nuclear,PDP8,2000,NA
Nuclear,PDP8,2001,NA
Nuclear,PDP8,2002,NA
Nuclear,PDP8,2003,NA
Nuclear,PDP8,2004,NA
Nuclear,PDP8,2005,NA
Nuclear,PDP8,2006,NA
Nuclear,PDP8,2007,NA
Nuclear,PDP8,2008,NA
Nuclear,PDP8,2009,NA
Nuclear,PDP8,2010,NA
Nuclear,PDP8,2011,NA
Nuclear,PDP8,2012,NA
Nuclear,PDP8,2013,NA
Nuclear,PDP8,2014,NA
Nuclear,PDP8,2015,NA
Nuclear,PDP8,2016,NA
Nuclear,PDP8,2017,NA
Nuclear,PDP8,2018,NA
Nuclear,PDP8,2019,NA
Nuclear,PDP8,2020,NA
Nuclear,PDP8,2021,NA
Nuclear,PDP8,2022,NA
Nuclear,PDP8,2023,NA
Nuclear,PDP8,2024,NA
Nuclear,PDP8,2025,0
Nuclear,PDP8,2026,0
Nuclear,PDP8,2027,0
Nuclear,PDP8,2028,0
Nuclear,PDP8,2029,0
Nuclear,PDP8,2030,0
Nuclear,PDP8,2031,0
Nuclear,PDP8,2032,0
Nuclear,PDP8,2033,0
Nuclear,PDP8,2034,0
Nuclear,PDP8,2035,0
Nuclear,PDP8,2036,0
Nuclear,PDP8,2037,0
Nuclear,PDP8,2038,0
Nuclear,PDP8,2039,0
Nuclear,PDP8,2040,0
Nuclear,PDP8,2041,0
Nuclear,PDP8,2042,0
Nuclear,PDP8,2043,0
Nuclear,PDP8,2044,0
Nuclear,PDP8,2045,0
Nuclear,PDP8,2046,0
Nuclear,PDP8,2047,0
Nuclear,PDP8,2048,0
Nuclear,PDP8,2049,0
Nuclear,PDP8,2050,0
Pumped_Hydro,PDP8,2000,NA
Pumped_Hydro,PDP8,2001,NA
Pumped_Hydro,PDP8,2002,NA
Pumped_Hydro,PDP8,2003,NA
Pumped_Hydro,PDP8,2004,NA
Pumped_Hydro,PDP8,2005,NA
Pumped_Hydro,PDP8,2006,NA
Pumped_Hydro,PDP8,2007,NA
Pumped_Hydro,PDP8,2008,NA
Pumped_Hydro,PDP8,2009,NA
Pumped_Hydro,PDP8,2010,NA
Pumped_Hydro,PDP8,2011,NA
Pumped_Hydro,PDP8,2012,NA
Pumped_Hydro,PDP8,2013,NA
Pumped_Hydro,PDP8,2014,NA
Pumped_Hydro,PDP8,2015,NA
Pumped_Hydro,PDP8,2016,NA
Pumped_Hydro,PDP8,2017,NA
Pumped_Hydro,PDP8,2018,NA
Pumped_Hydro,PDP8,2019,NA
Pumped_Hydro,PDP8,2020,NA
Pumped_Hydro,PDP8,2021,NA
Pumped_Hydro,PDP8,2022,NA
Pumped_Hydro,PDP8,2023,NA
Pumped_Hydro,PDP8,2024,NA
Pumped_Hydro,PDP8,2025,0
Pumped_Hydro,PDP8,2026,480
Pumped_Hydro,PDP8,2027,960
Pumped_Hydro,PDP8,2028,1440
Pumped_Hydro,PDP8,2029,1920
Pumped_Hydro,PDP8,2030,2400
Pumped_Hydro,PDP8,2031,3280
Pumped_Hydro,PDP8,2032,4160
Pumped_Hydro,PDP8,2033,5040
Pumped_Hydro,PDP8,2034,5920
Pumped_Hydro,PDP8,2035,6800
Pumped_Hydro,PDP8,2036,7680
Pumped_Hydro,PDP8,2037,8560
Pumped_Hydro,PDP8,2038,9440
Pumped_Hydro,PDP8,2039,10320
Pumped_Hydro,PDP8,2040,11200
Pumped_Hydro,PDP8,2041,12080
Pumped_Hydro,PDP8,2042,12960
Pumped_Hydro,PDP8,2043,13840
Pumped_Hydro,PDP8,2044,14720
Pumped_Hydro,PDP8,2045,15600
Pumped_Hydro,PDP8,2046,16480
Pumped_Hydro,PDP8,2047,17360
Pumped_Hydro,PDP8,2048,18240
Pumped_Hydro,PDP8,2049,19120
Pumped_Hydro,PDP8,2050,20000
Pumped_storagehydro_BESS,PDP8,2000,NA
Pumped_storagehydro_BESS,PDP8,2001,NA
Pumped_storagehydro_BESS,PDP8,2002,NA
Pumped_storagehydro_BESS,PDP8,2003,NA
Pumped_storagehydro_BESS,PDP8,2004,NA
Pumped_storagehydro_BESS,PDP8,2005,NA
Pumped_storagehydro_BESS,PDP8,2006,NA
Pumped_storagehydro_BESS,PDP8,2007,NA
Pumped_storagehydro_BESS,PDP8,2008,NA
Pumped_storagehydro_BESS,PDP8,2009,NA
Pumped_storagehydro_BESS,PDP8,2010,NA
Pumped_storagehydro_BESS,PDP8,2011,NA
Pumped_storagehydro_BESS,PDP8,2012,NA
Pumped_storagehydro_BESS,PDP8,2013,NA
Pumped_storagehydro_BESS,PDP8,2014,NA
Pumped_storagehydro_BESS,PDP8,2015,NA
Pumped_storagehydro_BESS,PDP8,2016,NA
Pumped_storagehydro_BESS,PDP8,2017,NA
Pumped_storagehydro_BESS,PDP8,2018,NA
Pumped_storagehydro_BESS,PDP8,2019,NA
Pumped_storagehydro_BESS,PDP8,2020,NA
Pumped_storagehydro_BESS,PDP8,2021,NA
Pumped_storagehydro_BESS,PDP8,2022,NA
Pumped_storagehydro_BESS,PDP8,2023,NA
Pumped_storagehydro_BESS,PDP8,2024,NA
Pumped_storagehydro_BESS,PDP8,2025,0
Pumped_storagehydro_BESS,PDP8,2026,540
Pumped_storagehydro_BESS,PDP8,2027,1080
Pumped_storagehydro_BESS,PDP8,2028,1620
Pumped_storagehydro_BESS,PDP8,2029,2160
Pumped_storagehydro_BESS,PDP8,2030,2700
Pumped_storagehydro_BESS,PDP8,2031,4842.5
Pumped_storagehydro_BESS,PDP8,2032,6985
Pumped_storagehydro_BESS,PDP8,2033,9127.5
Pumped_storagehydro_BESS,PDP8,2034,11270
Pumped_storagehydro_BESS,PDP8,2035,13412.5
Pumped_storagehydro_BESS,PDP8,2036,15555
Pumped_storagehydro_BESS,PDP8,2037,17697.5
Pumped_storagehydro_BESS,PDP8,2038,19840
Pumped_storagehydro_BESS,PDP8,2039,21982.5
Pumped_storagehydro_BESS,PDP8,2040,24125
Pumped_storagehydro_BESS,PDP8,2041,26267.500000000004
Pumped_storagehydro_BESS,PDP8,2042,28410
Pumped_storagehydro_BESS,PDP8,2043,30552.5
Pumped_storagehydro_BESS,PDP8,2044,32694.999999999996
Pumped_storagehydro_BESS,PDP8,2045,34837.5
Pumped_storagehydro_BESS,PDP8,2046,36980
Pumped_storagehydro_BESS,PDP8,2047,39122.5
Pumped_storagehydro_BESS,PDP8,2048,41265
Pumped_storagehydro_BESS,PDP8,2049,43407.5
Pumped_storagehydro_BESS,PDP8,2050,45550
PV,PDP8,2000,0
PV,PDP8,2001,0
PV,PDP8,2002,0
PV,PDP8,2003,0
PV,PDP8,2004,0
PV,PDP8,2005,0
PV,PDP8,2006,0
PV,PDP8,2007,0
PV,PDP8,2008,0
PV,PDP8,2009,0
PV,PDP8,2010,0
PV,PDP8,2011,0
PV,PDP8,2012,0
PV,PDP8,2013,0
PV,PDP8,2014,10
PV,PDP8,2015,10
PV,PDP8,2016,10
PV,PDP8,2017,10
PV,PDP8,2018,100
PV,PDP8,2019,4990
PV,PDP8,2020,16660
PV,PDP8,2021,16660
PV,PDP8,2022,16700
PV,PDP8,2023,18590
PV,PDP8,2024,18670
PV,PDP8,2025,16919
PV,PDP8,2026,17653.4
PV,PDP8,2027,18387.8
PV,PDP8,2028,19122.2
PV,PDP8,2029,19856.6
PV,PDP8,2030,20591
PV,PDP8,2031,29026.15
PV,PDP8,2032,37461.3
PV,PDP8,2033,45896.45
PV,PDP8,2034,54331.6
PV,PDP8,2035,62766.75
PV,PDP8,2036,71201.9
PV,PDP8,2037,79637.04999999999
PV,PDP8,2038,88072.2
PV,PDP8,2039,96507.35
PV,PDP8,2040,104942.5
PV,PDP8,2041,113377.65000000001
PV,PDP8,2042,121812.8
PV,PDP8,2043,130247.95
PV,PDP8,2044,138683.09999999998
PV,PDP8,2045,147118.25
PV,PDP8,2046,155553.4
PV,PDP8,2047,163988.55
PV,PDP8,2048,172423.7
PV,PDP8,2049,180858.85
PV,PDP8,2050,189294
TOTAL,PDP8,2000,NA
TOTAL,PDP8,2001,NA
TOTAL,PDP8,2002,NA
TOTAL,PDP8,2003,NA
TOTAL,PDP8,2004,NA
TOTAL,PDP8,2005,NA
TOTAL,PDP8,2006,NA
TOTAL,PDP8,2007,NA
TOTAL,PDP8,2008,NA
TOTAL,PDP8,2009,NA
TOTAL,PDP8,2010,NA
TOTAL,PDP8,2011,NA
TOTAL,PDP8,2012,NA
TOTAL,PDP8,2013,NA
TOTAL,PDP8,2014,NA
TOTAL,PDP8,2015,NA
TOTAL,PDP8,2016,NA
TOTAL,PDP8,2017,NA
TOTAL,PDP8,2018,NA
TOTAL,PDP8,2019,NA
TOTAL,PDP8,2020,NA
TOTAL,PDP8,2021,NA
TOTAL,PDP8,2022,NA
TOTAL,PDP8,2023,NA
TOTAL,PDP8,2024,NA
TOTAL,PDP8,2025,89402
TOTAL,PDP8,2026,102648.8
TOTAL,PDP8,2027,115895.6
TOTAL,PDP8,2028,129142.4
TOTAL,PDP8,2029,142389.2
TOTAL,PDP8,2030,155636
TOTAL,PDP8,2031,176250.45
TOTAL,PDP8,2032,196864.9
TOTAL,PDP8,2033,217479.35
TOTAL,PDP8,2034,238093.8
TOTAL,PDP8,2035,258708.25
TOTAL,PDP8,2036,279322.7
TOTAL,PDP8,2037,299937.15
TOTAL,PDP8,2038,320551.6
TOTAL,PDP8,2039,341166.05000000005
TOTAL,PDP8,2040,361780.5
TOTAL,PDP8,2041,382394.95
TOTAL,PDP8,2042,403009.4
TOTAL,PDP8,2043,423623.85000000003
TOTAL,PDP8,2044,444238.3
TOTAL,PDP8,2045,464852.75
TOTAL,PDP8,2046,485467.2
TOTAL,PDP8,2047,506081.64999999997
TOTAL,PDP8,2048,526696.1000000001
TOTAL,PDP8,2049,547310.55
TOTAL,PDP8,2050,567925
Total capacity,PDP8,2000,5830
Total capacity,PDP8,2001,6370
Total capacity,PDP8,2002,7270
Total capacity,PDP8,2003,7800
Total capacity,PDP8,2004,9300
Total capacity,PDP8,2005,10090
Total capacity,PDP8,2006,10450
Total capacity,PDP8,2007,11620
Total capacity,PDP8,2008,14120
Total capacity,PDP8,2009,16720
Total capacity,PDP8,2010,18510
Total capacity,PDP8,2011,21970
Total capacity,PDP8,2012,25890
Total capacity,PDP8,2013,28120
Total capacity,PDP8,2014,32330
Total capacity,PDP8,2015,38130
Total capacity,PDP8,2016,39710
Total capacity,PDP8,2017,42010
Total capacity,PDP8,2018,44660
Total capacity,PDP8,2019,53220
Total capacity,PDP8,2020,66830
Total capacity,PDP8,2021,73840
Total capacity,PDP8,2022,77440
Total capacity,PDP8,2023,82450
Total capacity,PDP8,2024,84370
Total capacity,PDP8,2025,NA
Total capacity,PDP8,2026,NA
Total capacity,PDP8,2027,NA
Total capacity,PDP8,2028,NA
Total capacity,PDP8,2029,NA
Total capacity,PDP8,2030,NA
Total capacity,PDP8,2031,NA
Total capacity,PDP8,2032,NA
Total capacity,PDP8,2033,NA
Total capacity,PDP8,2034,NA
Total capacity,PDP8,2035,NA
Total capacity,PDP8,2036,NA
Total capacity,PDP8,2037,NA
Total capacity,PDP8,2038,NA
Total capacity,PDP8,2039,NA
Total capacity,PDP8,2040,NA
Total capacity,PDP8,2041,NA
Total capacity,PDP8,2042,NA
Total capacity,PDP8,2043,NA
Total capacity,PDP8,2044,NA
Total capacity,PDP8,2045,NA
Total capacity,PDP8,2046,NA
Total capacity,PDP8,2047,NA
Total capacity,PDP8,2048,NA
Total capacity,PDP8,2049,NA
Total capacity,PDP8,2050,NA
Wind,PDP8,2000,0
Wind,PDP8,2001,0
Wind,PDP8,2002,0
Wind,PDP8,2003,0
Wind,PDP8,2004,0
Wind,PDP8,2005,0
Wind,PDP8,2006,0
Wind,PDP8,2007,0
Wind,PDP8,2008,0
Wind,PDP8,2009,10
Wind,PDP8,2010,30
Wind,PDP8,2011,30
Wind,PDP8,2012,30
Wind,PDP8,2013,50
Wind,PDP8,2014,50
Wind,PDP8,2015,140
Wind,PDP8,2016,160
Wind,PDP8,2017,200
Wind,PDP8,2018,240
Wind,PDP8,2019,370
Wind,PDP8,2020,520
Wind,PDP8,2021,4120
Wind,PDP8,2022,5070
Wind,PDP8,2023,5890
Wind,PDP8,2024,6180
Wind,PDP8,2025,6774
Wind,PDP8,2026,9795.2
Wind,PDP8,2027,12816.400000000001
Wind,PDP8,2028,15837.6
Wind,PDP8,2029,18858.800000000003
Wind,PDP8,2030,21880
Wind,PDP8,2031,24638.5
Wind,PDP8,2032,27397
Wind,PDP8,2033,30155.5
Wind,PDP8,2034,32914
Wind,PDP8,2035,35672.5
Wind,PDP8,2036,38431
Wind,PDP8,2037,41189.5
Wind,PDP8,2038,43948
Wind,PDP8,2039,46706.5
Wind,PDP8,2040,49465
Wind,PDP8,2041,52223.5
Wind,PDP8,2042,54982
Wind,PDP8,2043,57740.5
Wind,PDP8,2044,60499
Wind,PDP8,2045,63257.5
Wind,PDP8,2046,66016
Wind,PDP8,2047,68774.5
Wind,PDP8,2048,71533
Wind,PDP8,2049,74291.5
Wind,PDP8,2050,77050
Wind_offshore,PDP8,2000,NA
Wind_offshore,PDP8,2001,NA
Wind_offshore,PDP8,2002,NA
Wind_offshore,PDP8,2003,NA
Wind_offshore,PDP8,2004,NA
Wind_offshore,PDP8,2005,NA
Wind_offshore,PDP8,2006,NA
Wind_offshore,PDP8,2007,NA
Wind_offshore,PDP8,2008,NA
Wind_offshore,PDP8,2009,NA
Wind_offshore,PDP8,2010,NA
Wind_offshore,PDP8,2011,NA
Wind_offshore,PDP8,2012,NA
Wind_offshore,PDP8,2013,NA
Wind_offshore,PDP8,2014,NA
Wind_offshore,PDP8,2015,NA
Wind_offshore,PDP8,2016,NA
Wind_offshore,PDP8,2017,NA
Wind_offshore,PDP8,2018,NA
Wind_offshore,PDP8,2019,NA
Wind_offshore,PDP8,2020,NA
Wind_offshore,PDP8,2021,NA
Wind_offshore,PDP8,2022,NA
Wind_offshore,PDP8,2023,NA
Wind_offshore,PDP8,2024,NA
Wind_offshore,PDP8,2025,0
Wind_offshore,PDP8,2026,1200
Wind_offshore,PDP8,2027,2400
Wind_offshore,PDP8,2028,3600
Wind_offshore,PDP8,2029,4800
Wind_offshore,PDP8,2030,6000
Wind_offshore,PDP8,2031,10275
Wind_offshore,PDP8,2032,14550
Wind_offshore,PDP8,2033,18825
Wind_offshore,PDP8,2034,23100
Wind_offshore,PDP8,2035,27375
Wind_offshore,PDP8,2036,31650
Wind_offshore,PDP8,2037,35925
Wind_offshore,PDP8,2038,40200
Wind_offshore,PDP8,2039,44475
Wind_offshore,PDP8,2040,48750
Wind_offshore,PDP8,2041,53025.00000000001
Wind_offshore,PDP8,2042,57300
Wind_offshore,PDP8,2043,61575
Wind_offshore,PDP8,2044,65850
Wind_offshore,PDP8,2045,70125
Wind_offshore,PDP8,2046,74400
Wind_offshore,PDP8,2047,78675
Wind_offshore,PDP8,2048,82950
Wind_offshore,PDP8,2049,87225
Wind_offshore,PDP8,2050,91500
Batteries,PDP8_rev_low,2000,NA
Batteries,PDP8_rev_low,2001,NA
Batteries,PDP8_rev_low,2002,NA
Batteries,PDP8_rev_low,2003,NA
Batteries,PDP8_rev_low,2004,NA
Batteries,PDP8_rev_low,2005,NA
Batteries,PDP8_rev_low,2006,NA
Batteries,PDP8_rev_low,2007,NA
Batteries,PDP8_rev_low,2008,NA
Batteries,PDP8_rev_low,2009,NA
Batteries,PDP8_rev_low,2010,NA
Batteries,PDP8_rev_low,2011,NA
Batteries,PDP8_rev_low,2012,NA
Batteries,PDP8_rev_low,2013,NA
Batteries,PDP8_rev_low,2014,NA
Batteries,PDP8_rev_low,2015,NA
Batteries,PDP8_rev_low,2016,NA
Batteries,PDP8_rev_low,2017,NA
Batteries,PDP8_rev_low,2018,NA
Batteries,PDP8_rev_low,2019,NA
Batteries,PDP8_rev_low,2020,NA
Batteries,PDP8_rev_low,2021,NA
Batteries,PDP8_rev_low,2022,NA
Batteries,PDP8_rev_low,2023,NA
Batteries,PDP8_rev_low,2024,NA
Batteries,PDP8_rev_low,2025,0
Batteries,PDP8_rev_low,2026,2000
Batteries,PDP8_rev_low,2027,4000
Batteries,PDP8_rev_low,2028,6000
Batteries,PDP8_rev_low,2029,8000
Batteries,PDP8_rev_low,2030,10000
Batteries,PDP8_rev_low,2031,14299.150000000001
Batteries,PDP8_rev_low,2032,18598.300000000003
Batteries,PDP8_rev_low,2033,22897.449999999997
Batteries,PDP8_rev_low,2034,27196.600000000002
Batteries,PDP8_rev_low,2035,31495.75
Batteries,PDP8_rev_low,2036,35794.899999999994
Batteries,PDP8_rev_low,2037,40094.05
Batteries,PDP8_rev_low,2038,44393.200000000004
Batteries,PDP8_rev_low,2039,48692.35
Batteries,PDP8_rev_low,2040,52991.5
Batteries,PDP8_rev_low,2041,57290.65
Batteries,PDP8_rev_low,2042,61589.799999999996
Batteries,PDP8_rev_low,2043,65888.95000000001
Batteries,PDP8_rev_low,2044,70188.1
Batteries,PDP8_rev_low,2045,74487.25
Batteries,PDP8_rev_low,2046,78786.40000000001
Batteries,PDP8_rev_low,2047,83085.55
Batteries,PDP8_rev_low,2048,87384.7
Batteries,PDP8_rev_low,2049,91683.84999999999
Batteries,PDP8_rev_low,2050,95983
Bioenergy,PDP8_rev_low,2000,130
Bioenergy,PDP8_rev_low,2001,130
Bioenergy,PDP8_rev_low,2002,130
Bioenergy,PDP8_rev_low,2003,130
Bioenergy,PDP8_rev_low,2004,130
Bioenergy,PDP8_rev_low,2005,130
Bioenergy,PDP8_rev_low,2006,130
Bioenergy,PDP8_rev_low,2007,130
Bioenergy,PDP8_rev_low,2008,130
Bioenergy,PDP8_rev_low,2009,130
Bioenergy,PDP8_rev_low,2010,130
Bioenergy,PDP8_rev_low,2011,130
Bioenergy,PDP8_rev_low,2012,130
Bioenergy,PDP8_rev_low,2013,130
Bioenergy,PDP8_rev_low,2014,200
Bioenergy,PDP8_rev_low,2015,220
Bioenergy,PDP8_rev_low,2016,260
Bioenergy,PDP8_rev_low,2017,270
Bioenergy,PDP8_rev_low,2018,380
Bioenergy,PDP8_rev_low,2019,380
Bioenergy,PDP8_rev_low,2020,390
Bioenergy,PDP8_rev_low,2021,370
Bioenergy,PDP8_rev_low,2022,380
Bioenergy,PDP8_rev_low,2023,380
Bioenergy,PDP8_rev_low,2024,420
Bioenergy,PDP8_rev_low,2025,NA
Bioenergy,PDP8_rev_low,2026,NA
Bioenergy,PDP8_rev_low,2027,NA
Bioenergy,PDP8_rev_low,2028,NA
Bioenergy,PDP8_rev_low,2029,NA
Bioenergy,PDP8_rev_low,2030,NA
Bioenergy,PDP8_rev_low,2031,NA
Bioenergy,PDP8_rev_low,2032,NA
Bioenergy,PDP8_rev_low,2033,NA
Bioenergy,PDP8_rev_low,2034,NA
Bioenergy,PDP8_rev_low,2035,NA
Bioenergy,PDP8_rev_low,2036,NA
Bioenergy,PDP8_rev_low,2037,NA
Bioenergy,PDP8_rev_low,2038,NA
Bioenergy,PDP8_rev_low,2039,NA
Bioenergy,PDP8_rev_low,2040,NA
Bioenergy,PDP8_rev_low,2041,NA
Bioenergy,PDP8_rev_low,2042,NA
Bioenergy,PDP8_rev_low,2043,NA
Bioenergy,PDP8_rev_low,2044,NA
Bioenergy,PDP8_rev_low,2045,NA
Bioenergy,PDP8_rev_low,2046,NA
Bioenergy,PDP8_rev_low,2047,NA
Bioenergy,PDP8_rev_low,2048,NA
Bioenergy,PDP8_rev_low,2049,NA
Bioenergy,PDP8_rev_low,2050,NA
Biomass,PDP8_rev_low,2000,NA
Biomass,PDP8_rev_low,2001,NA
Biomass,PDP8_rev_low,2002,NA
Biomass,PDP8_rev_low,2003,NA
Biomass,PDP8_rev_low,2004,NA
Biomass,PDP8_rev_low,2005,NA
Biomass,PDP8_rev_low,2006,NA
Biomass,PDP8_rev_low,2007,NA
Biomass,PDP8_rev_low,2008,NA
Biomass,PDP8_rev_low,2009,NA
Biomass,PDP8_rev_low,2010,NA
Biomass,PDP8_rev_low,2011,NA
Biomass,PDP8_rev_low,2012,NA
Biomass,PDP8_rev_low,2013,NA
Biomass,PDP8_rev_low,2014,NA
Biomass,PDP8_rev_low,2015,NA
Biomass,PDP8_rev_low,2016,NA
Biomass,PDP8_rev_low,2017,NA
Biomass,PDP8_rev_low,2018,NA
Biomass,PDP8_rev_low,2019,NA
Biomass,PDP8_rev_low,2020,NA
Biomass,PDP8_rev_low,2021,NA
Biomass,PDP8_rev_low,2022,NA
Biomass,PDP8_rev_low,2023,NA
Biomass,PDP8_rev_low,2024,NA
Biomass,PDP8_rev_low,2025,276
Biomass,PDP8_rev_low,2026,828.6
Biomass,PDP8_rev_low,2027,1381.2
Biomass,PDP8_rev_low,2028,1933.8
Biomass,PDP8_rev_low,2029,2486.4
Biomass,PDP8_rev_low,2030,3039
Biomass,PDP8_rev_low,2031,3240.7
Biomass,PDP8_rev_low,2032,3442.4
Biomass,PDP8_rev_low,2033,3644.1
Biomass,PDP8_rev_low,2034,3845.8
Biomass,PDP8_rev_low,2035,4047.5
Biomass,PDP8_rev_low,2036,4249.2
Biomass,PDP8_rev_low,2037,4450.9
Biomass,PDP8_rev_low,2038,4652.6
Biomass,PDP8_rev_low,2039,4854.3
